City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
88,Aswan,EG,99.7,clear sky,24.0934,32.907,Nuba Nile
218,Porto Nacional,BR,95.0,few clouds,-10.7081,-48.4172,Vila Real Hotel
257,Cacoal,BR,98.37,scattered clouds,-11.4386,-61.4472,Hotel BR 364
272,Itupiranga,BR,95.32,clear sky,-5.1347,-49.3267,Hotel Panorama
298,Riyadh,SA,98.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
405,Morant Bay,JM,95.7,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
428,Awbari,LY,99.0,clear sky,26.5921,12.7805,فندق أوباري
535,Porto De Moz,BR,98.65,scattered clouds,-1.7483,-52.2383,Dormitório labelle
583,Macaubas,BR,96.6,clear sky,-13.0194,-42.6986,Hotel Portal
633,Nova Olimpia,BR,95.79,broken clouds,-14.7972,-57.2881,Motel glamour
667,Itapipoca,BR,95.56,scattered clouds,-3.4944,-39.5786,Hotel Pilotos
697,Diamantino,BR,95.47,few clouds,-14.4086,-56.4461,Hotel Delta
708,Mazagao,BR,95.05,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
714,Bani Walid,LY,95.68,clear sky,31.7566,13.9942,نيك بلاش
870,Oeiras Do Para,BR,95.85,scattered clouds,-2.0031,-49.8544,Araticu Soft Hotel
915,Rondonopolis,BR,95.81,few clouds,-16.4708,-54.6356,Serras Hotel
1002,Nortelandia,BR,96.12,scattered clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
1056,Bakel,SN,95.56,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
1106,Manzil Salim,TN,95.31,scattered clouds,35.8567,8.4765,mohamed ben khlil omri
1112,Bandar-E Lengeh,IR,95.11,clear sky,26.5579,54.8807,کافی نت پارس
1227,Itapuranga,BR,97.83,clear sky,-15.5622,-49.9486,Terraço Hotel
1326,Guiratinga,BR,99.18,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
1340,Paramirim,BR,97.23,clear sky,-13.4425,-42.2389,Pousada Rio Pequeno
1362,Tatawin,TN,97.39,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
1381,Mizdah,LY,95.41,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
1397,Sabha,LY,96.89,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
1418,Corrente,BR,98.53,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
1422,Oriximina,BR,97.54,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
1493,Doha,QA,96.78,clear sky,25.2867,51.5333,Mövenpick Doha
1592,Buritizeiro,BR,99.1,clear sky,-17.3511,-44.9622,Santos Palace Hotel
1646,Nizwa,OM,95.07,broken clouds,22.9333,57.5333,Orient Apartments
1819,Port Antonio,JM,95.0,scattered clouds,18.18,-76.4612,The Trident Hotel
1822,Ndioum,SN,98.49,scattered clouds,16.5129,-14.6471,l'hôtel samassa
1856,Manzanillo,CU,95.2,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
1869,Jaragua,BR,98.91,clear sky,-15.7569,-49.3344,Danbury Hotel
